Sample ID,Sample Type,Location,Status,Date Collected
SAMPLE_85,Saliva,Lab B,In Use,2024-03-25
SAMPLE_86,Saliva,Lab D,Available,2024-03-26
SAMPLE_87,Tissue,Lab B,Available,2024-03-27
SAMPLE_88,Tissue,Lab B,Available,2024-03-28
SAMPLE_89,Tissue,Lab D,Stored,2024-03-29
SAMPLE_90,Blood,Lab B,Processed,2024-03-30
SAMPLE_91,Urine,Lab B,Available,2024-03-31
SAMPLE_92,Saliva,Lab B,Available,2024-04-01
SAMPLE_93,Tissue,Lab C,Available,2024-04-02
SAMPLE_94,Saliva,Lab A,Available,2024-04-03
SAMPLE_95,Urine,Lab D,Processed,2024-04-04
SAMPLE_96,Saliva,Lab B,Processed,2024-04-05
SAMPLE_97,Urine,Lab C,In Use,2024-04-06
SAMPLE_98,Tissue,Lab A,In Use,2024-04-07
SAMPLE_99,Blood,Lab C,Processed,2024-04-08
SAMPLE_100,Urine,Lab A,Stored,2024-04-09
